"","fullname","y1939","y1940","y1941","y1942","y1943","y1944","y1945"
"1027","Mack August",0,0,0,3,9,0,0
"1028","Mackens Walter",0,0,0,2,6,0,0
"1029","Maeder Friedrich",0,0,0,1,7,0,0
"1030","Mai Lothar",0,0,0,1,45,0,0
"1031","Maisch Karl",0,0,0,2,6,3,0
"1032","Malsch Franz",0,0,0,3,1,6,0
"1033","Marotzke Horst",0,0,0,18,0,0,0
"1034","Matern Karl-Heinrich",0,0,0,6,1,0,0
"1035","Miethig Rudolf",0,0,0,26,49,0,0
"1036","Miksch Alfred",0,0,0,64,13,0,0
"1037","Mildner Wilhelm",0,0,0,2,10,0,0
"1038","Monska Otto",0,0,0,10,2,2,0
"1039","Moritz Wilhelm",0,0,0,2,1,11,0
"1040","Morr Hans",0,0,0,2,8,0,0
"1041","Mors August",0,0,0,2,2,25,0
"1042","Moycis Rudolf",0,0,0,4,2,7,0
"1043","Mrotzeck Fritz",0,0,0,38,0,0,0
"1044","Muller Erwin",0,0,0,14,11,5,0
"1045","Muller Fritz R.G.",0,0,0,30,16,15,0
"1046","Muller Hans",0,0,0,4,1,9,0
"1047","Muller Hans-Volkmar",0,0,0,12,0,0,0
"1048","Muller Hermann",0,0,0,28,10,2,0
"1049","Muller Xaver",0,0,0,8,31,0,0
"1050","Obst Heinz",0,0,0,6,0,0,0
"1051","Olbrecht Heinz",0,0,0,4,2,0,0
"1052","Oloff Heinz",0,0,0,4,4,3,0
"1053","Olsen Kurt",0,0,0,6,28,13,0
"1054","Opalke Horst",0,0,0,12,0,0,0
"1055","Opitz Kurt",0,0,0,4,3,1,0
"1056","Oswald Hans",0,0,0,18,0,0,0
"1057","Paashaus Karl",0,0,0,2,6,14,0
"1058","Palm Albert",0,0,0,18,1,2,0
"1059","Passier Henny",0,0,0,8,1,0,0
"1060","Patuschka Horst",0,0,0,38,3,0,0
"1061","Peissert Helmut",0,0,0,62,0,0,0
"1062","Peltz Werner",0,0,0,14,2,0,0
"1063","Perl Gustav",0,0,0,34,0,0,0
"1064","Peterburs Hans",0,0,0,6,0,0,0
"1065","Petermann Viktor",0,0,0,18,51,0,4
"1066","Pfeifer Albert",0,0,0,4,4,0,0
"1067","Pfeiffer Heinz",0,0,0,6,0,0,0
"1068","Pfutzer Nikolaus",0,0,0,6,0,0,0
"1069","Philipp Rudolf",0,0,0,1,3,6,0
"1070","Piffer Anton-Rudolf (Toni)",0,0,0,1,16,18,0
"1071","Pissarski Georg",0,0,0,5,5,0,0
"1072","Pohl Ottkar",0,0,0,14,0,0,0
"1073","Pohl Otto",0,0,0,14,2,0,0
"1074","Pottgen Rainer",0,0,0,4,11,2,0
"1075","Potzel Arno",0,0,0,14,3,2,0
"1076","Preinfalk Alexander",0,0,0,46,13,3,0
"1077","Priess Walter",0,0,0,10,4,0,0
"1078","Quaritsch Karl-Heinz",0,0,0,11,0,0,0
"1079","Quast Werner 'Quax'",0,0,0,5,81,0,0
"1080","Rabiega Josef",0,0,0,3,16,0,0
"1081","Rademacher Rudolf",0,0,0,15,7,6,16
"1082","Raht Gerhard",0,0,0,1,16,26,0
"1083","Rammelt Karl",0,0,0,24,11,13,1
"1084","Rapp Werner",0,0,0,1,8,1,0
"1085","Rathenow Johannes",0,0,0,1,6,0,0
"1086","Ratzlaff Kurt",0,0,0,9,0,0,0
"1087","Rauchfuss Herbert",0,0,0,5,5,0,0
"1088","Rauh Hubert",0,0,0,4,5,12,0
"1089","Rauhaus Rudolf",0,0,0,1,4,2,0
"1090","Reich Gunter",0,0,0,11,0,0,0
"1091","Reicke Hans-Wilhelm",0,0,0,3,3,0,0
"1092","Reiff Hans",0,0,0,36,20,0,0
"1093","Reinert Ernst-Wilhelm",0,0,0,36,64,6,0
"1094","Reinhardt Hans-Gunther",0,0,0,8,35,0,0
"1095","Renzow Hans-Werner",0,0,0,2,4,9,0
"1096","Resch Rudolf",0,0,0,30,28,0,0
"1097","Riha Alfred",0,0,0,8,0,0,0
"1098","Roebbers Rudolf",0,0,0,1,5,0,0
"1099","Roisch Kurt",0,0,0,20,0,0,0
"1100","Rökker Heinz",0,0,0,5,4,37,19
"1101","Romm Oskar",0,0,0,1,66,16,6
"1102","Rosenberg Heinrich",0,0,0,10,0,0,0
"1103","Rossner Hans",0,0,0,8,0,23,0
"1104","Rost Wolfgang",0,0,0,1,4,1,0
"1105","Rubell Gunther",0,0,0,32,7,0,0
"1106","Russ Otto",0,0,0,5,13,13,0
"1107","Sandweg Kurt",0,0,0,5,11,4,0
"1108","Sayn-Wittgenstein Heinrich zu",0,0,0,23,42,0,0
"1109","Schaedle Gerd",0,0,0,3,6,0,0
"1110","Schamberger Martin",0,0,0,4,10,0,0
"1111","Schanz Georg",0,0,0,1,4,5,0
"1112","Scharl Alfred",0,0,0,1,10,0,0
"1113","Schauble Karl",0,0,0,27,2,0,0
"1114","Scheib Wilhelm",0,0,0,12,0,0,0
"1115","Schellwat Fritz",0,0,0,8,8,1,0
"1116","Scheyda Erich",0,0,0,2,13,5,0
"1117","Schiehs Franz",0,0,0,18,43,0,0
"1118","Schild Heinrich",0,0,0,3,5,4,0
"1119","Schlegel Rolf",0,0,0,2,4,0,0
"1120","Schleinhege Hermann",0,0,0,1,27,11,0
"1121","Schlick Horst",0,0,0,15,22,2,0
"1122","Schluter Harro",0,0,0,28,0,8,0
"1123","Schmidt Hans",0,0,0,1,5,1,0
"1124","Schmitt Otto",0,0,0,3,4,0,0
"1125","Schmitz Gunther",0,0,0,7,4,15,0
"1126","Schnaufer Heinz-Wolfgang",0,0,0,7,35,64,15
"1127","Schneider Bernd",0,0,0,14,8,0,0
"1128","Schneider Bernhard",0,0,0,14,1,0,0
"1129","Schneider Hans-Werner",0,0,0,15,8,0,0
"1130","Schofbock Erich",0,0,0,11,0,0,0
"1131","Scholze Heinz",0,0,0,1,9,0,0
"1132","Schopper Erich",0,0,0,8,0,0,0
"1133","Schuck Walter",0,0,0,12,42,90,0
"1134","Schulte Franz",0,0,0,12,0,0,0
"1135","Schulz Bruno",0,0,0,3,2,6,0
"1136","Schulze Alfred",0,0,0,11,0,0,0
"1137","Schumacher Karl",0,0,0,14,16,0,0
"1138","Schutte Josef",0,0,0,12,14,0,0
"1139","Schwaiger Franz",0,0,0,47,2,1,0
"1140","Schwaneberg Siegfried",0,0,0,9,1,0,0
"1141","Schwarz Erich",0,0,0,1,4,4,0
"1142","Schwarz Gunter",0,0,0,1,29,0,0
"1143","Schwientek Georg",0,0,0,8,20,0,0
"1144","Seckel Georg",0,0,0,6,5,3,0
"1145","Seiz Walter",0,0,0,5,0,6,0
"1146","Semelka Waldemar",0,0,0,9,0,0,0
"1147","Setzepfandt Gunther",0,0,0,8,0,0,0
"1148","Sieg Heinz",0,0,0,12,2,0,0
"1149","Simon Erich",0,0,0,8,0,0,0
"1150","Simsch Siegfried",0,0,0,11,0,2,0
"1151","Sommer Adalbert",0,0,0,23,6,3,0
"1152","Sommer Gerhard",0,0,0,1,16,3,0
"1153","Spate Wolfgang",0,0,0,4,0,12,0
"1154","Spenner Manfred",0,0,0,6,3,12,0
"1155","Spies Walter",0,0,0,8,1,0,0
"1156","Spott Johann",0,0,0,16,0,0,0
"1157","Spreckels Robert",0,0,0,1,1,4,0
"1158","Spreitzer Karl",0,0,0,2,7,0,0
"1159","Stahl Hermann",0,0,0,2,2,2,0
"1160","Stammberger Otto 'Stotto'",0,0,0,4,6,0,0
"1161","Steddin Werner",0,0,0,6,0,0,0
"1162","Steinbach Richard",0,0,0,4,4,0,0
"1163","Steindl Paul",0,0,0,3,5,0,0
"1164","Steinicke Karl-Heinz",0,0,0,5,8,0,0
"1165","Steinmuller Friedrich",0,0,0,4,8,2,0
"1166","Steis Heinrich",0,0,0,13,9,0,0
"1167","Stellfeld Robert",0,0,0,2,4,0,0
"1168","Stern Artur",0,0,0,11,0,0,0
"1169","Sterr Heinrich",0,0,0,12,70,24,0
"1170","Stigler Franz",0,0,0,17,4,5,0
"1171","Stober Kurt",0,0,0,28,9,0,0
"1172","Stockmann Gerhard",0,0,0,13,1,0,0
"1173","Stower Heinz",0,0,0,1,5,24,0
"1174","Strasen Gerhard",0,0,0,2,6,0,0
"1175","Strassl Hubert",0,0,0,13,54,0,0
"1176","Stuckler Alfred",0,0,0,6,9,4,0
"1177","Sturm Gustav",0,0,0,1,3,15,5
"1178","Sturm Heinrich",0,0,0,6,73,24,0
"1179","Suschko Leo",0,0,0,8,0,0,0
"1180","Suss Ernst",0,0,0,20,6,0,0
"1181","Szameitat Paul",0,0,0,5,23,0,0
"1182","Tanzer Kurt",0,0,0,1,12,1,0
"1183","Tartsch Hans-Ulrich",0,0,0,1,2,3,0
"1184","Tautscher Gabriel",0,0,0,2,54,2,0
"1185","Telge Wilhelm",0,0,0,1,13,0,0
"1186","Tham Gustav",0,0,0,2,4,4,0
"1187","Thomann Hans",0,0,0,1,7,0,0
"1188","Thomas Erich",0,0,0,10,0,4,0
"1189","Titze Joachim",0,0,0,7,18,0,0
"1190","Toll Gunter",0,0,0,8,0,0,0
"1191","Toll Gunther",0,0,0,8,31,0,0
"1192","Torfer Josef",0,0,0,2,3,2,0
"1193","Trenkel Rudolf",0,0,0,35,63,40,1
"1194","Trepte Rudolf",0,0,0,5,2,0,0
"1195","Vechtel Bernhard",0,0,0,6,45,34,0
"1196","Venth Heinz",0,0,0,1,9,6,0
"1197","Vinke Heinz",0,0,0,8,30,20,0
"1198","Vogel Michael",0,0,0,7,0,0,0
"1199","Vogel Wolfgang",0,0,0,14,0,0,0
"1200","Volke Maximilian",0,0,0,16,13,0,0
"1201","Vollkopf Karl-Heinz",0,0,0,1,6,0,0
"1202","Wachowiak Friedrich",0,0,0,22,0,1,0
"1203","Wagner Rudolf",0,0,0,1,79,0,0
"1204","Waldmann Hans",0,0,0,19,63,46,0
"1205","Wallys Alfred",0,0,0,1,5,0,0
"1206","Walter Albert",0,0,0,11,20,5,0
"1207","Walz Albrecht",0,0,0,22,6,0,0
"1208","Wefers Heinrich",0,0,0,21,9,0,0
"1209","Weidlich Bruno",0,0,0,20,10,0,0
"1210","Weise Reinhard",0,0,0,6,0,0,0
"1211","Wennekers Hans-Gerd",0,0,0,1,11,5,0
"1212","Werner Lothar",0,0,0,2,6,0,0
"1213","Wernitz Ulrich",0,0,0,1,18,59,0
"1214","Werth Johann",0,0,0,3,0,9,0
"1215","Wick Karl",0,0,0,2,0,5,0
"1216","Wickop Dietrich",0,0,0,1,14,0,0
"1217","Widowitz Wulf-Dietrich",0,0,0,1,19,0,0
"1218","Wilkau Karl von Lieres u.",0,0,0,26,7,0,0
"1219","Willmanns Gerhard",0,0,0,1,7,0,0
"1220","Winkler Ernst",0,0,0,3,4,0,0
"1221","Winkler Max",0,0,0,3,4,13,0
"1222","Wirth Otto",0,0,0,7,4,0,0
"1223","Wöhnert Ulrich (Seppi)",0,0,0,3,42,39,0
"1224","Wohrle Heinrich",0,0,0,9,0,0,0
"1225","Wolf Albin",0,0,0,7,113,21,0
"1226","Wolf Hermann",0,0,0,29,21,6,1
"1227","Wolff Lothar",0,0,0,1,10,0,0
"1228","Wolter Robert",0,0,0,15,1,1,0
"1229","Wulfers Hans",0,0,0,2,6,0,0
"1230","Wunsch Karl",0,0,0,2,11,36,0
"1231","Wunschelmeyer Karl",0,0,0,13,2,1,0
"1232","Wurfel Otto",0,0,0,6,46,26,0
"1233","Zander Fritz",0,0,0,3,9,14,0
"1234","Zibler Emil",0,0,0,17,18,0,0
"1235","Zimmer Herbert",0,0,0,8,13,0,0
"1236","Zimmermann Oskar",0,0,0,1,5,22,0
"1237","Zink Fulbert",0,0,0,27,7,0,0
"1238","Zirngibl Josef",0,0,0,1,5,4,0
"1239","Ahlbrand Gustav",0,0,0,0,10,0,0
"1240","Aldecoea (Aldecoa) Vicente",0,0,0,0,6,0,0
"1241","Altnorthoff Ernst-Georg",0,0,0,0,4,5,0
"1242","Amend Hermann",0,0,0,0,4,5,0
"1243","Amon Georg",0,0,0,0,6,2,0
"1244","Andresen Lorenz",0,0,0,0,1,5,0
"1245","Avdic Zdenko",0,0,0,0,8,0,0
"1246","Baake Werner",0,0,0,0,23,12,0
"1247","Bachnick Herbert",0,0,0,0,47,32,0
"1248","Baer Hans",0,0,0,0,7,0,0
"1249","Bar Heinrich",0,0,0,0,7,0,0
"1250","Barann Leo-Lothar",0,0,0,0,2,6,0
"1251","Bärsdorf Gerhard-Alfred",0,0,0,0,4,7,0
"1252","Bartosch Hieronymus",0,0,0,0,12,2,0
"1253","Bartsch Eduard",0,0,0,0,8,0,0
"1254","Baten Kurt",0,0,0,0,17,5,0
"1255","Batz Wilhelm (Willi)",0,0,0,0,78,152,10
"1256","Bauer Konrad (Pitt)",0,0,0,0,11,26,0
"1257","Bauhuber Helmut",0,0,0,0,10,3,0
"1258","Beck Albin",0,0,0,0,6,0,0
"1259","Becker Martin (Tino)",0,0,0,0,6,37,15
"1260","Beissel Egon Graf von",0,0,0,0,7,0,0
"1261","Bellstedt Albrecht",0,0,0,0,11,1,0
"1262","Benning Anton",0,0,0,0,3,9,0
"1263","Berger Friedrich",0,0,0,0,1,6,0
"1264","Berger Hans",0,0,0,0,2,5,0
"1265","Berger Horst",0,0,0,0,13,11,0
"1266","Berndt Paul",0,0,0,0,2,4,0
"1267","Bernhardt Max",0,0,0,0,15,0,0
"1268","Beth Arthur",0,0,0,0,11,0,0
"1269","Biesmann Werner",0,0,0,0,6,0,0
"1270","Birkenstock Hansjorg",0,0,0,0,4,3,0
"1271","Birkner Hans-Joachim",0,0,0,0,24,93,0
"1272","Birnstill Franz",0,0,0,0,10,1,0
"1273","Bleckmann Günther",0,0,0,0,10,23,0
"1274","Bley Paul",0,0,0,0,5,5,0
"1275","Bleyer Paul",0,0,0,0,6,3,0
"1276","Bohatsch Walter",0,0,0,0,9,1,0
"1277","Bolte Karl",0,0,0,0,2,6,0
"1278","Bonow Kurt",0,0,0,0,5,6,0
"1279","Bottner Karl-Heinz",0,0,0,0,14,45,0
"1280","Bozik Rudolf",0,0,0,0,8,0,0
"1281","Brake Paul",0,0,0,0,11,0,0
"1282","Braun Gottlieb",0,0,0,0,10,0,0
"1283","Bretschneider Klaus",0,0,0,0,7,28,0
"1284","Breukel Wendelin",0,0,0,0,2,17,0
"1285","Brill Karl",0,0,0,0,23,9,0
"1286","Brinkmann Fritz",0,0,0,0,2,8,0
"1287","Brock Friedrich",0,0,0,0,3,3,0
"1288","Brock Horst",0,0,0,0,17,0,0
"1289","Bronner Hugo",0,0,0,0,11,0,0
"1290","Brucher Heinrich",0,0,0,0,9,0,0
"1291","Brunner Josef",0,0,0,0,5,1,0
"1292","Bubel Eduard",0,0,0,0,2,9,0
"1293","Buchholz Max",0,0,0,0,2,4,0
"1294","Bungert Erich",0,0,0,0,3,7,0
"1295","Bunzek Johannes",0,0,0,0,77,0,0
"1296","Burath Eberhard",0,0,0,0,2,4,1
"1297","Burchheit Ludwig",0,0,0,0,1,9,0
"1298","Burger Horst",0,0,0,0,12,0,0
"1299","Busse Heinz",0,0,0,0,7,14,0
"1300","Bussert Joachim",0,0,0,0,1,8,0
"1301","Buttner Erich",0,0,0,0,8,1,0
"1302","Buttner Herbert",0,0,0,0,1,6,0
"1303","Cech Franz",0,0,0,0,34,0,0
"1304","Christoph Kurt",0,0,0,0,11,0,0
"1305","Cordes Karl-Heinz",0,0,0,0,28,4,0
"1306","Cuadra Mariano",0,0,0,0,10,0,0
"1307","Culemann Hans-Gunnar",0,0,0,0,3,12,0
"1308","Cyprich Frantisek",0,0,0,0,11,0,0
"1309","Dahms Helmut",0,0,0,0,6,9,0
"1310","Dassow Rudi",0,0,0,0,2,7,0
"1311","Demuth Karl-Emil",0,0,0,0,3,10,0
"1312","Dienst Werner",0,0,0,0,4,2,0
"1313","Diepen Hans-Bodo",0,0,0,0,9,0,0
"1314","Dietrich Klaus",0,0,0,0,15,1,0
"1315","Dietsche Karl-Heinz",0,0,0,0,2,4,0
"1316","Dohse Hartwig",0,0,0,0,24,0,0
"1317","Dommeratzky Otto",0,0,0,0,5,5,0
"1318","Doppler Alwin",0,0,0,0,8,19,0
"1319","Drecker Heinz",0,0,0,0,14,2,0
"1320","Dreesmann Rudolf",0,0,0,0,10,15,0
"1321","Drunkler Ernst",0,0,0,0,4,19,0
"1322","Drunkler Ernst-Georg",0,0,0,0,5,20,0
"1323","Duding Rudi",0,0,0,0,2,8,0
"1324","Dukovac Mato",0,0,0,0,17,4,0
"1325","Duttmann Peter",0,0,0,0,25,65,0
"1326","Eberhardt Paul",0,0,0,0,11,0,0
"1327","Eberwein Manfred",0,0,0,0,9,21,0
"1328","Ehrhardt Peter",0,0,0,0,7,14,0
"1329","Eichhorn Gunter",0,0,0,0,7,0,0
"1330","Emler Kurt",0,0,0,0,16,0,0
"1331","Engelbrecht Hans",0,0,0,0,2,6,0
"1332","Engleder Rudolf",0,0,0,0,20,1,0
"1333","Engst Hubert",0,0,0,0,1,8,0
"1334","Ertmann Horst",0,0,0,0,6,0,0
"1335","Ewald Heinz",0,0,0,0,8,20,0
"1336","Farber Leonhard",0,0,0,0,1,11,0
"1337","Farnholz Wilhelm Flegel von",0,0,0,0,6,0,0
"1338","Fest Wilhelm",0,0,0,0,4,6,0
"1339","Findeisen Herbert",0,0,0,0,25,5,0
"1340","Finster Lenz",0,0,0,0,8,0,0
"1341","Fischer Alfred",0,0,0,0,12,0,0
"1342","Fischer Kurt",0,0,0,0,9,0,0
"1343","Florian Otto",0,0,0,0,2,10,0
"1344","Flugge Karl-Heinz",0,0,0,0,5,6,0
"1345","Forster Paul",0,0,0,0,4,4,0
"1346","Franke Moritz",0,0,0,0,7,0,0
"1347","Franz Gunter",0,0,0,0,4,2,0
"1348","Franzel Herbert",0,0,0,0,10,0,0
"1349","Fries Otto",0,0,0,0,5,8,0
"1350","Fritz Hans",0,0,0,0,1,12,0
"1351","Fuetscher Hugo",0,0,0,0,2,4,0
"1352","Fureder Georg",0,0,0,0,5,30,0
"1353","Gabl Josef",0,0,0,0,9,13,0
"1354","Gaedicke Alfred",0,0,0,0,6,0,0
"1355","Gail Andreas",0,0,0,0,9,0,0
"1356","Gaiser Otto",0,0,0,0,61,5,0
"1357","Gaissmayer Anton",0,0,0,0,2,5,0
"1358","Gavilan Juan Ramon",0,0,0,0,9,0,0
"1359","Gayko Werner",0,0,0,0,1,7,0
"1360","Gazapi Dragutin",0,0,0,0,6,0,0
"1361","Geisen Walter",0,0,0,0,7,0,0
"1362","Geiser Otto",0,0,0,0,61,5,0
"1363","Geric Alexander",0,0,0,0,9,0,0
"1364","Gerstmayer Lorenz",0,0,0,0,2,13,0
"1365","Gerstmayr Lorenz",0,0,0,0,2,12,0
"1366","Gerth Werner",0,0,0,0,1,27,0
"1367","Geyer Nobert",0,0,0,0,9,1,0
"1368","Glaser Martin",0,0,0,0,10,0,0
"1369","Glitz Wilhelm",0,0,0,0,1,10,0
"1370","Glitz Willi",0,0,0,0,1,9,0
"1371","Gloerfeld Wolfgang",0,0,0,0,4,2,0
"1372","Gmelin Knud",0,0,0,0,6,2,0
"1373","Gorlach Gerhard",0,0,0,0,6,8,0
"1374","Gossow Heinz",0,0,0,0,2,6,0
"1375","Grab Albert",0,0,0,0,1,5,0
"1376","Grabe Horst",0,0,0,0,8,0,0
"1377","Gren Kurt",0,0,0,0,10,12,0
"1378","Grimm Horst",0,0,0,0,5,4,0
"1379","Gross Alfred",0,0,0,0,3,8,0
"1380","Gross Artur",0,0,0,0,2,8,0
"1381","Grossfuss Detlef",0,0,0,0,7,8,0
"1382","Grubert Hans",0,0,0,0,14,0,0
"1383","Grumme Ernst-Dietrich",0,0,0,0,33,11,0
"1384","Gunther Kurt",0,0,0,0,9,3,0
"1385","Guthenke Hans-Georg",0,0,0,0,6,7,0
"1386","Guttmann Gerhard",0,0,0,0,1,7,0
"1387","Haala Sigurd",0,0,0,0,6,34,0
"1388","Haas Friedrich",0,0,0,0,2,34,0
"1389","Haase Ernst",0,0,0,0,5,13,0
"1390","Haase Gunter",0,0,0,0,6,0,0
"1391","Hager Johannes",0,0,0,0,19,10,0
"1392","Hahne Wolfgang",0,0,0,0,11,0,0
"1393","Haller Gunther",0,0,0,0,5,8,0
"1394","Hamer Joachim",0,0,0,0,29,0,0
"1395","Hanke Heinz",0,0,0,0,5,5,0
"1396","Hannig Nobert",0,0,0,0,9,1,0
"1397","Hannig Norbert",0,0,0,0,1,6,0
"1398","Hanshen Ulrich",0,0,0,0,4,2,0
"1399","Hanss Joachim",0,0,0,0,1,9,0
"1400","Happatsch Hans-Joachim",0,0,0,0,6,0,0
"1401","Hartig August",0,0,0,0,4,3,0
"1402","Hartl Andreas",0,0,0,0,7,8,0
"1403","Hartmann Johann",0,0,0,0,10,0,0
"1404","Heckmann Gunther",0,0,0,0,11,15,0
"1405","Heemsoth Richard",0,0,0,0,3,3,0
"1406","Heicke Jurgen",0,0,0,0,6,0,0
"1407","Heilig Bruno",0,0,0,0,2,6,0
"1408","Heimann Friedrich",0,0,0,0,20,2,0
"1409","Heinzelmann Emil",0,0,0,0,6,0,0
"1410","Held Anton",0,0,0,0,15,0,0
"1411","Henning Ernst",0,0,0,0,6,0,0
"1412","Henseler Wilhelm",0,0,0,0,4,5,0
"1413","Hermann Bernhard von",0,0,0,0,5,7,0
"1414","Herre Herbert",0,0,0,0,8,0,0
"1415","Herrmann Wilfried",0,0,0,0,6,0,0
"1416","Hessel Bernhard",0,0,0,0,35,0,0
"1417","Hevia Gonzalo",0,0,0,0,11,0,0
"1418","Heym Gunther",0,0,0,0,13,4,0
"1419","Hicke Walter",0,0,0,0,6,0,0
"1420","Hirschfeld Ernst-Erich",0,0,0,0,8,17,0
"1421","Hoerschelmann Jurgen",0,0,0,0,10,23,0
"1422","Holstein Hermann",0,0,0,0,6,3,0
"1423","Holzmann Josef",0,0,0,0,3,4,0
"1424","Hommel Heinz",0,0,0,0,6,0,0
"1425","Hondt Erich",0,0,0,0,7,5,0
"1426","Hopf Werner",0,0,0,0,2,12,0
"1427","Horstmann Hermann",0,0,0,0,9,0,0
"1428","Hosmann Karl",0,0,0,0,9,0,0
"1429","Hubl Rudolf",0,0,0,0,6,14,0
"1430","Hubner Wilhelm",0,0,0,0,15,30,0
"1431","Iffland Hans",0,0,0,0,1,17,0
"1432","Isken Eduard",0,0,0,0,8,7,0
"1433","Jaacks Egbert",0,0,0,0,4,2,0
"1434","Jahn Gunther",0,0,0,0,6,4,0
"1435","Jahnke Ewald",0,0,0,0,7,0,0
"1436","Jahnke Walter",0,0,0,0,19,15,0
"1437","Jank Wolfgang",0,0,0,0,6,0,0
"1438","Janke Ewald",0,0,0,0,3,6,0
"1439","Jankovic Jozef",0,0,0,0,6,0,0
"1440","Jauer Erich",0,0,0,0,12,0,0
"1441","Jenne Peter",0,0,0,0,4,3,0
"1442","Jessen Heinrich",0,0,0,0,6,0,0
"1443","John Horst",0,0,0,0,7,0,0
"1444","Johne Helmut",0,0,0,0,2,4,0
"1445","Johnen Wilhelm (Wim)",0,0,0,0,6,25,1
"1446","Jost Friedrich",0,0,0,0,6,0,0
"1447","Josten Gunther",0,0,0,0,81,29,0
"1448","Jung Detlef",0,0,0,0,3,10,0
"1449","Jung Hans-Ulrich",0,0,0,0,1,10,0
"1450","Jurgens Hans",0,0,0,0,18,4,0
"1451","Kabbe Lothar",0,0,0,0,1,6,0
"1452","Kabisch Helmut",0,0,0,0,6,0,0
"1453","Kaiser Theodor",0,0,0,0,9,0,0
"1454","Kalber Fritz",0,0,0,0,2,4,0
"1455","Kalden Peter",0,0,0,0,12,29,0
"1456","Kamptz Henning von",0,0,0,0,3,3,0
"1457","Kap-Herr Hermann von",0,0,0,0,3,4,0
"1458","Kapp Karl-Heinz",0,0,0,0,10,14,0
"1459","Karch Fritz",0,0,0,0,16,3,0
"1460","Kaross Eberhard",0,0,0,0,1,10,0
"1461","Karsten Kurt",0,0,0,0,6,0,0
"1462","Kastenhuber Hans",0,0,0,0,5,4,0
"1463","Kattlun Heinz",0,0,0,0,12,0,0
"1464","Keil Georg",0,0,0,0,3,5,0
"1465","Kelch Gunther",0,0,0,0,14,0,0
"1466","Kerkhoff Ernst",0,0,0,0,9,0,0
"1467","Kiefner Georg",0,0,0,0,2,10,0
"1468","Kiesel Wolfgang",0,0,0,0,8,0,0
"1469","Kilian Jurgen",0,0,0,0,2,6,0
"1470","Kioworra Hermann",0,0,0,0,8,0,0
"1471","Kirchner Horst",0,0,0,0,6,5,0
"1472","Kirnbauer Herbert",0,0,0,0,9,0,0
"1473","Kirstein Helmut",0,0,0,0,8,0,0
"1474","Klaus Berthold",0,0,0,0,6,1,0
"1475","Klein Alfons",0,0,0,0,8,18,0
"1476","Klopper Friedrich",0,0,0,0,6,0,0
"1477","Klug Franz",0,0,0,0,11,0,0
"1478","Knichel Karl",0,0,0,0,6,0,0
"1479","Knieling Wolfgang",0,0,0,0,1,9,0
"1480","Koch Felix",0,0,0,0,6,1,0
"1481","Koch Herbert",0,0,0,0,5,13,0
"1482","Koch Raimund",0,0,0,0,16,17,0
"1483","Koch Robert",0,0,0,0,2,10,0
"1484","Kociok Josef",0,0,0,0,22,0,0
"1485","Kohlhagen Kurt",0,0,0,0,1,22,0
"1486","Koller Herbert",0,0,0,0,12,17,0
"1487","Koltringer Christian",0,0,0,0,6,0,0
"1488","Konter Helmut",0,0,0,0,1,14,0
"1489","Kopfinski Gunter",0,0,0,0,5,1,0
"1490","Koppe Heinz",0,0,0,0,4,3,0
"1491","Kornstadt Hans-Ulrich",0,0,0,0,6,0,0
"1492","Koschack Helmut",0,0,0,0,7,3,0
"1493","Kossatz Gunther",0,0,0,0,24,4,0
"1494","Kostler Oskar",0,0,0,0,12,0,0
"1495","Kovarik Izidor",0,0,0,0,26,0,0
"1496","Kraft Georg",0,0,0,0,14,0,0
"1497","Kraft Josef",0,0,0,0,6,31,0
"1498","Krahnke Wolfgang",0,0,0,0,32,0,0
"1499","Krakowitzer Friedrich",0,0,0,0,15,10,0
"1500","Kratz Benno",0,0,0,0,2,4,0
"1501","Krause Bodo",0,0,0,0,4,10,0
"1502","Krauter Wilhelm",0,0,0,0,4,10,0
"1503","Krisko Vladimir",0,0,0,0,9,0,0
"1504","Kruse Fritz",0,0,0,0,6,0,0
"1505","Kuehl Helmut",0,0,0,0,16,2,0
"1506","Kuhle Hellmuth",0,0,0,0,8,0,0
"1507","Kuhn Gunther",0,0,0,0,6,0,0
"1508","Kunze Bernhard",0,0,0,0,9,0,0
"1509","Kurz Gunther",0,0,0,0,33,0,0
"1510","Kutzner Otto",0,0,0,0,2,6,0
"1511","Lacha Martin",0,0,0,0,11,0,0
"1512","Lamprecht Wolfgang",0,0,0,0,6,0,0
"1513","Landau Robert",0,0,0,0,6,0,0
"1514","Landt Gunther",0,0,0,0,10,14,0
"1515","Lang Emil",0,0,0,0,126,48,0
"1516","Lange Friedrich",0,0,0,0,3,5,0
"1517","Lange Helmut",0,0,0,0,4,5,0
"1518","Langmann Gunter",0,0,0,0,6,0,0
"1519","Lanzenbacher Adolf",0,0,0,0,9,1,0
"1520","Lau Fritz",0,0,0,0,3,12,0
"1521","Laun Hans",0,0,0,0,8,0,0
"1522","Lehner Alfred",0,0,0,0,13,11,0
"1523","Leickhardt Hans",0,0,0,0,2,8,0
"1524","Lemke Siegfried",0,0,0,0,11,45,0
"1525","Leube Hermann",0,0,0,0,6,11,0
"1526","Leuchs Rolf",0,0,0,0,5,4,0
"1527","Licha Ludwig",0,0,0,0,8,1,0
"1528","Liebelt Fritz",0,0,0,0,3,8,0
"1529","Liedtke Karlfriedrich",0,0,0,0,6,0,0
"1530","Lindelaub Friedrich",0,0,0,0,5,1,0
