"","fullname","y1939","y1940","y1941","y1942","y1943","y1944","y1945"
"260","Keller Lothar",0,15,5,0,0,0,0
"261","Kempf Karl-Heinz",0,5,33,42,4,5,0
"262","Kijewski Herbert",0,5,0,0,1,0,0
"263","Kinzinger Adolf",0,2,4,0,0,0,0
"264","Kinzinger Adolf-Waldemar",0,7,0,0,0,0,0
"265","Klee Hans",0,7,0,0,0,0,0
"266","Klein Willi",0,2,0,0,6,5,0
"267","Klippgen Rolf",0,2,0,0,4,0,0
"268","Klopper Heinrich",0,2,19,110,17,0,0
"269","Koch Harry",0,3,5,0,28,0,0
"270","Kodderitzsch Gerhard",0,4,2,0,0,0,0
"271","Koenig Hans-Heinrich (Kira)",0,1,1,2,3,21,0
"272","Kohl Hermann",0,2,4,0,0,0,0
"273","Kolbow Hans",0,12,15,0,0,0,0
"274","Konopka Kuno-Adalbert",0,8,0,0,0,0,0
"275","Kosse Wolfgang",0,13,6,4,0,19,0
"276","Kothmann Willi",0,8,3,3,0,0,0
"277","Krafft Heinrich (Gaudi)",0,4,30,26,0,0,0
"278","Krafftschick Rudolf",0,6,0,0,0,0,0
"279","Krahl Karl-Heinz",0,15,3,1,0,0,0
"280","Krenz Herbert",0,3,2,5,0,0,0
"281","Krenzke Erich",0,1,3,3,0,0,0
"282","Krieger Walter",0,3,3,0,0,0,0
"283","Krug Hans",0,14,0,0,0,0,0
"284","Kuhrke Siegfried",0,8,0,0,0,0,0
"285","Kull Gustav",0,8,0,0,0,0,0
"286","Kunert Hans",0,9,0,0,0,0,0
"287","Kunert Heinz",0,8,0,0,0,0,0
"288","Kupper Heinz",0,3,2,3,2,0,0
"289","Labusga Erich",0,6,0,0,0,0,0
"290","Landry Hans-Herbert",0,8,0,0,0,0,0
"291","Langenberg Karl",0,9,0,0,0,0,0
"292","Lauffs Peter",0,6,0,0,0,0,0
"293","Lausch Bernhard",0,5,0,2,0,0,0
"294","Leesmann Karl-Heinz",0,14,6,0,5,0,0
"295","Lehmann Georg",0,7,0,0,0,0,0
"296","Leie Erich",0,11,22,12,59,14,4
"297","Leipelt Wilhelm",0,7,0,0,0,0,0
"298","Leonhard Karl",0,3,0,4,4,0,0
"299","Leppla Richard",0,12,0,4,0,0,0
"300","Leschert Heinrich",0,1,5,17,0,0,0
"301","Leschnig Max",0,7,2,0,0,0,0
"302","Leykauf Erwin",0,5,8,15,2,3,0
"303","Lignitz Arnold",0,19,6,0,0,0,0
"304","Linke Lothar",0,1,2,8,16,0,0
"305","Lippe-Weissenfeld Egmont Prinz zur",0,2,7,22,16,0,0
"306","Litjens Stefan (Stef)",0,7,18,5,3,6,0
"307","Lohoff Helmut",0,3,6,0,0,0,0
"308","Losigkeit Fritz",0,7,0,0,34,12,0
"309","Luders Franz",0,12,0,0,0,0,0
"310","Luth Detlev",0,3,1,8,8,0,0
"311","Lützow Günther",0,18,83,2,0,0,2
"312","Machold Werner",0,26,5,0,0,0,0
"313","Mader Anton",0,3,0,30,3,15,0
"314","Marseille Hans-Joachim",0,7,29,122,0,0,0
"315","Matoni Walter",0,1,3,0,5,25,0
"316","Matuschka Siegfried Graf von",0,1,8,11,9,0,0
"317","Mayer Egon",0,3,27,0,34,12,0
"318","Mayerl Maximilian",0,4,8,0,42,0,0
"319","Meckel Helmut",0,9,16,0,0,0,0
"320","Meimberg Julius",0,9,5,0,3,7,0
"321","Menge Robert",0,13,2,0,0,0,0
"322","Mertens Helmut",0,4,0,0,2,1,0
"323","Meyer Erich",0,6,0,0,0,0,0
"324","Meyer Karl-Heinz",0,6,0,0,0,0,0
"325","Meyer Otto",0,1,5,0,4,13,0
"326","Meyer Walter",0,11,5,0,0,0,0
"327","Michalski Gerhard",0,8,16,0,13,13,1
"328","Mietusch Klaus",0,2,13,24,31,21,0
"329","Moller Hans-Jurgen von",0,1,2,18,0,0,0
"330","Muller Alfred",0,11,0,0,9,30,0
"331","Muller August",0,4,0,0,38,4,0
"332","Muller Helmut",0,7,0,0,0,0,0
"333","Muller Wilhelm",0,19,0,0,0,2,0
"334","Müller Friedrich-Karl (Tutti)",0,10,13,162,13,23,0
"335","Muller-Duhe Gerhard",0,7,0,0,0,0,0
"336","Mutherich Hubert",0,6,0,0,0,0,0
"337","Nacke Heinz",0,14,0,0,0,0,0
"338","Naumann Johannes",0,2,0,0,14,0,0
"339","Neuerburg Erwin",0,7,0,0,0,0,0
"340","Neuhoff Hermann",0,10,25,0,0,0,0
"341","Neumann Eduard",0,5,5,0,0,0,0
"342","Oesau Walter ""Gulle""",0,40,61,6,1,14,0
"343","Ohlrogge Walter",0,1,0,54,0,0,0
